accuracy: 0; count: 0
accuracy: 0,82773715; count: 2000
accuracy: 0,8560581; count: 4000
accuracy: 0,8785514; count: 5857
accuracy: 0,88518155; count: 6857
accuracy: 0,89408857; count: 7857
accuracy: 0,9026194; count: 8857
accuracy: 0,90318614; count: 9857
accuracy: 0,9058743; count: 10857
accuracy: 0,90740395; count: 11857
accuracy: 0,9102125; count: 12857
accuracy: 0,9106739; count: 13857
accuracy: 0,91073906; count: 14857
accuracy: 0,91072905; count: 15857
accuracy: 0,9169931; count: 16857
accuracy: 0,9189289; count: 17857
accuracy: 0,9232621; count: 18857
accuracy: 0,92337745; count: 19857
accuracy: 0,9239993; count: 20857
accuracy: 0,9243755; count: 21857
accuracy: 0,92519295; count: 22857
accuracy: 0,92670757; count: 23857
accuracy: 0,9280717; count: 24857
accuracy: 0,9312062; count: 25857
accuracy: 0,93124133; count: 26857
accuracy: 0,93173283; count: 27857
accuracy: 0,93169266; count: 28857
accuracy: 0,93223935; count: 29857
accuracy: 0,9324851; count: 30857
accuracy: 0,9325252; count: 31857
accuracy: 0,9325302; count: 32857
accuracy: 0,93362355; count: 33857
accuracy: 0,93449116; count: 34857
accuracy: 0,93497765; count: 35857
accuracy: 0,93510807; count: 36857
accuracy: 0,9352836; count: 37857
accuracy: 0,9352585; count: 38857
accuracy: 0,9356146; count: 39857
accuracy: 0,93669283; count: 40857
accuracy: 0,93675804; count: 41857
accuracy: 0,9537045; count: 42857
accuracy: 0,9539302; count: 43857
accuracy: 0,95422107; count: 44857
accuracy: 0,95414585; count: 45857
accuracy: 0,95408565; count: 46857
accuracy: 0,954196; count: 47857
accuracy: 0,9543164; count: 48857
accuracy: 0,9543815; count: 49857
accuracy: 0,9544217; count: 50857
accuracy: 0,95460725; count: 51857
accuracy: 0,954873; count: 52857
accuracy: 0,95493823; count: 53857
accuracy: 0,95497334; count: 54857
accuracy: 0,95507866; count: 55857
accuracy: 0,9552241; count: 56857
accuracy: 0,9560165; count: 57857
accuracy: 0,9559463; count: 58857
accuracy: 0,9562071; count: 59857
accuracy: 0,95632744; count: 60857
accuracy: 0,9567738; count: 61857
accuracy: 0,95686406; count: 62857
accuracy: 0,95691425; count: 63857
accuracy: 0,95728034; count: 64857
accuracy: 0,9574659; count: 65857
accuracy: 0,9575813; count: 66857
accuracy: 0,9576013; count: 67857
accuracy: 0,9576264; count: 68857
accuracy: 0,95783204; count: 69857
accuracy: 0,95780194; count: 70857
accuracy: 0,95784205; count: 71857
accuracy: 0,95783705; count: 72857
accuracy: 0,9579474; count: 73857
accuracy: 0,9581229; count: 74857
accuracy: 0,95834357; count: 75857
accuracy: 0,958474; count: 76857
accuracy: 0,9590106; count: 77857
accuracy: 0,959141; count: 78857
accuracy: 0,95922625; count: 79857
accuracy: 0,95920616; count: 80857
accuracy: 0,95929146; count: 81857
accuracy: 0,9593717; count: 82857
accuracy: 0,95955724; count: 83857
accuracy: 0,9596024; count: 84857
accuracy: 0,95955724; count: 85857
accuracy: 0,95975286; count: 86857
accuracy: 0,95975786; count: 87857
accuracy: 0,9618743; count: 88857
accuracy: 0,96193445; count: 89857
accuracy: 0,96206486; count: 90857
accuracy: 0,96201974; count: 91857
accuracy: 0,96212006; count: 92857
accuracy: 0,9621752; count: 93857
accuracy: 0,9622755; count: 94857
accuracy: 0,9622153; count: 95857
accuracy: 0,9622003; count: 96857
accuracy: 0,96235573; count: 97857
accuracy: 0,96249616; count: 98857
